km_age,mark,model,power,segment,state,transmission,year,engine_type,region,body_type,color,drive_type,wheell_type,condition,owners_count,customs_cleared,price
81942,MERCEDES,VITO,136,PREMIUM,used,AUTOMATIC,2016,DIESEL,Москва,минивэн,синий,задний,Левый,Не требует ремонта,3 или более,Растаможен,2348000
0,MERCEDES,GLA_CLASS,150,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,внедорожник 5 дв.,серый,неизвестно,Левый,Новая,0 владелецев,Растаможен,2916440
49,MERCEDES,GLS_KLASSE,330,PREMIUM,used,AUTOMATIC,2019,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,9500000
0,MERCEDES,CLA_KLASSE,163,PREMIUM,new,ROBOT,2020,GASOLINE,Москва,седан,серебристый,неизвестно,Левый,Новая,0 владелецев,Растаможен,3086070
9810,VAZ,2107,73,ECONOMY,used,MECHANICAL,2010,GASOLINE,Москва,седан,зелёный,задний,Левый,Не требует ремонта,2 владельца,Растаможен,250000
25730,VAZ,2107,73,ECONOMY,used,MECHANICAL,2006,GASOLINE,Москва,седан,зелёный,задний,Левый,Не требует ремонта,1 владелец,Растаможен,165000
40416,BMW,X7,249,PREMIUM,used,AUTOMATIC,2020,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,6228000
29000,MERCEDES,GLE_KLASSE,249,PREMIUM,used,AUTOMATIC,2017,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,3700000
248017,HONDA,PILOT,249,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,1 владелец,Растаможен,1570000
0,MERCEDES,S_CLASS_MAYBACH,630,PREMIUM,new,AUTOMATIC,2018,GASOLINE,Москва,седан,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,58382604
0,NISSAN,X_TRAIL,144,MEDIUM,new,VARIATOR,2020,GASOLINE,Москва,внедорожник 5 дв.,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,2287000
132000,LEXUS,GX,296,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,2 владельца,Растаможен,2670000
44351,MERCEDES,GLS_KLASSE,249,PREMIUM,used,AUTOMATIC,2017,DIESEL,Москва,внедорожник 5 дв.,белый,полный,Левый,Не требует ремонта,2 владельца,Растаможен,4725000
178000,LEXUS,IS,208,PREMIUM,used,AUTOMATIC,2008,GASOLINE,Москва,седан,красный,задний,Левый,Не требует ремонта,3 или более,Растаможен,930000
69412,AUDI,A7,340,PREMIUM,used,ROBOT,2018,GASOLINE,Москва,лифтбек,синий,полный,Левый,Не требует ремонта,1 владелец,Растаможен,3989000
82170,LEXUS,IS,208,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,седан,белый,задний,Левый,Не требует ремонта,2 владельца,Растаможен,1478000
0,VOLKSWAGEN,TIGUAN,125,MEDIUM,new,MECHANICAL,2020,GASOLINE,Москва,внедорожник 5 дв.,белый,неизвестно,Левый,Новая,0 владелецев,Растаможен,1850500
100147,TOYOTA,LAND_CRUISER_PRADO,163,PREMIUM,used,AUTOMATIC,2014,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,3 или более,Растаможен,2248000
66555,VOLKSWAGEN,JETTA,85,MEDIUM,used,MECHANICAL,2015,GASOLINE,Москва,седан,белый,передний,Левый,Не требует ремонта,3 или более,Растаможен,690000
65696,AUDI,A5,249,PREMIUM,used,ROBOT,2016,GASOLINE,Москва,купе,коричневый,полный,Левый,Не требует ремонта,3 или более,Растаможен,2098000
157000,HYUNDAI,SANTA_FE,197,MEDIUM,used,AUTOMATIC,2012,DIESEL,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,1265000
0,MERCEDES,V_KLASSE,190,PREMIUM,new,AUTOMATIC,2020,DIESEL,Москва,минивэн,серый,неизвестно,Левый,Новая,0 владелецев,Растаможен,7574875
0,VOLKSWAGEN,CARAVELLE,199,MEDIUM,new,ROBOT,2020,DIESEL,Москва,минивэн,чёрный,неизвестно,Левый,Новая,0 владелецев,Растаможен,4400700
40738,LAND_ROVER,RANGE_ROVER_VELAR,249,PREMIUM,used,AUTOMATIC,2019,GASOLINE,Москва,внедорожник 5 дв.,чёрный,полный,Левый,Не требует ремонта,1 владелец,Растаможен,3450000
